"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Produits";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2023-01";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"18.66";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"18.69";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"18.73";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"19.49";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"19.32";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"19.67";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"19.91";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"20.29";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"19.55";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"18.23";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"21.36";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"20.80";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"18.04";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"17.51";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"16.52";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"18.59";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"20.41";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"20.42";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"20.66";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"22.29";"";"";"";"2"
