"Titre du cube";"Numéro d'identification du produit";"Numéro d'identification de CANSIM";URL;"Notes sur le cube";"État de l'archivage";Fréquence;"Début de la période de référence";"Fin de la période de référence";"Nombre total de dimensions"
"Prix de détail moyens mensuels pour certains produits";"18100245";;"https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1810024501";1,2,5;"ACTIF - un cube qui est disponible au public et qui est toujours mise a jour";"Mensuelle";"2017-01-01";"2024-09-01";"2";

"Numéro d'identification de la dimension";"Nom de la dimension";"Notes sur la dimension";"Définitions de la dimension"
"1";"Géographie";;""
"2";"Produits";;""

"Numéro d'identification de la dimension";"Nom du membre";"Code sur la classification";"Numéro d'identification du membre";"Numéro d'identification du membre parent";Terminé;"Notes sur le membre";"Définitions du membre"
"1";"Terre-Neuve-et-Labrador";"[10]";"1";"11";"";;
"1";"Île-du-Prince-Édouard";"[11]";"2";"11";"";;
"1";"Nouvelle-Écosse";"[12]";"3";"11";"";;
"1";"Nouveau-Brunswick";"[13]";"4";"11";"";;
"1";"Québec";"[24]";"5";"11";"";;
"1";"Ontario";"[35]";"6";"11";"";;
"1";"Manitoba";"[46]";"7";"11";"";;
"1";"Saskatchewan";"[47]";"8";"11";"";;
"1";"Alberta";"[48]";"9";"11";"";;
"1";"Colombie-Britannique";"[59]";"10";"11";"";;
"1";"Canada";"[11124]";"11";"";"";;
"2";"Boeuf à ragoût, par kilogramme";"";"1";"";"";3;
"2";"Contrefilets de boeuf, par kilogramme";"";"2";"";"";3;
"2";"Hauts de surlonge de boeuf, par kilogramme";"";"3";"";"";3;
"2";"Boeuf haché, par kilogramme";"";"4";"";"";3;
"2";"Longes de porc, par kilogramme";"";"5";"";"";3;
"2";"Côtes de porc, par kilogramme";"";"6";"";"";3;
"2";"Poulet entier, par kilogramme";"";"7";"";"";3;
"2";"Poitrines de poulet, par kilogramme";"";"8";"";"";3;
"2";"Hauts de cuisse de poulet, par kilogramme";"";"9";"";"";3;
"2";"Bacon, 500 grammes";"";"10";"";"";4;
"2";"Saucisses fumées, 400 grammes";"";"11";"";"";4;
"2";"Thon en conserve, 170 grammes";"";"12";"";"";3;
"2";"Lait, 1 litre";"";"13";"";"";3;
"2";"Lait, 2 litres";"";"14";"";"";3;
"2";"Lait, 4 litres";"";"15";"";"";3;
"2";"Crème, 1 litre";"";"16";"";"";3;
"2";"Beurre, 454 grammes";"";"17";"";"";3;
"2";"Fromage en bloc, 500  grammes";"";"18";"";"";4;
"2";"Yogourt, 500 grammes";"";"19";"";"";4;
"2";"Oeufs, 1 douzaine";"";"20";"";"";3;
"2";"Pommes, par kilogramme";"";"21";"";"";3;
"2";"Oranges, par kilogramme";"";"22";"";"";3;
"2";"Oranges, 1,36 kilogrammes";"";"23";"";"";3,4;
